npi	nppes_provider_gender	specialty_description	medicare_prvdr_enroll_status	total_claim_count	total_30_day_fill_count	total_drug_cost	total_day_supply	bene_count	ge65_suppress_flag	total_claim_count_ge65	total_30_day_fill_count_ge65	total_drug_cost_ge65	total_day_supply_ge65	bene_count_ge65_suppress_flag	bene_count_ge65	brand_suppress_flag	brand_claim_count	brand_drug_cost	generic_suppress_flag	generic_claim_count	generic_drug_cost	other_suppress_flag	other_claim_count	other_drug_cost	mapd_suppress_flag	mapd_claim_count	mapd_drug_cost	pdp_suppress_flag	pdp_claim_count	pdp_drug_cost	lis_suppress_flag	lis_claim_count	lis_drug_cost	nonlis_suppress_flag	nonlis_claim_count	nonlis_drug_cost	opioid_claim_count	opioid_drug_cost	opioid_day_supply	opioid_bene_count	opioid_prescriber_rate	la_opioid_claim_count	la_opioid_drug_cost	la_opioid_day_supply	la_opioid_bene_count	la_opioid_prescriber_rate	antibiotic_claim_count	antibiotic_drug_cost	antibiotic_bene_count	antipsych_ge65_suppress_flag	antipsych_claim_count_ge65	antipsych_drug_cost_ge65	antipsych_bene_ge65_suppress_flg	antipsych_bene_count_ge65	average_age_of_beneficiaries	beneficiary_female_count	beneficiary_male_count	beneficiary_nondual_count	beneficiary_dual_count	beneficiary_average_risk_score	EXCLYear	REINYear	excl_type	exclusion_flag	country	state	nppes_credentials	total_30_day_per_claim	drug_cost_per_claim	day_supply_per_claim	female_count	male_count	nondual_count	dual_count
1477923498	F	Internal Medicine	N	14.0	31.5	2478.88	940.0	5.0	suppressed	5.0	306.0	13928.695	6920.0	suppressed	5.0	suppressed	5.0	17122.3	suppressed	5.0	8144.09	not_suppressed	0.0	0.0	not_suppressed	0.0	0.0	not_suppressed	14.0	2478.88	not_suppressed	14.0	2478.88	not_suppressed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	not suppressed	0.0	0.0	not suppressed	0.0	71.0	73.0	47.0	89.0	40.0	1.3465				0	US	FL	Medical Doctor	2.25	177.06285714285715	67.14285714285714	suppressed	suppressed	suppressed	suppressed
1821175068	F	General/Family Practice	E	1200.0	2177.0	80299.69	61703.0	168.0	not_suppressed	1061.0	1969.0	64816.71	55923.0	not_suppressed	147.0	not_suppressed	236.0	65221.09	not_suppressed	953.0	14610.98	not_suppressed	11.0	467.62	not_suppressed	1094.0	72227.66	not_suppressed	106.0	8072.03	not_suppressed	233.0	25482.4	not_suppressed	967.0	54817.29	49.0	793.04	1211.0	22.0	4.08	5.0	0.0	0.0	5.0	0.0	32.0	276.38	30.0	not suppressed	11.0	231.21	suppressed	5.0	72.0	117.0	51.0	141.0	27.0	1.0879				0	US	OR	Medical Doctor	1.8141666666666667	66.91640833333334	51.41916666666667	not suppressed	not suppressed	not suppressed	not suppressed
1508281866	F	Physician Assistant	N	63.0	97.0	10624.15	2308.0	24.0	not_suppressed	43.0	68.0	8135.12	1607.0	counter suppressed	19.0	not_suppressed	13.0	8540.68	not_suppressed	50.0	2083.47	not_suppressed	0.0	0.0	suppressed	5.0	5038.525	counter suppressed	58.0	11189.15	suppressed	5.0	7822.22	counter suppressed	58.0	8329.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	386.73	5.0	not suppressed	0.0	0.0	not suppressed	0.0	67.0	24.0	0.0	89.0	40.0	0.8646				0	US	NY	Physican Assistant	1.5396825396825398	168.63730158730158	36.63492063492063	not suppressed	not suppressed	suppressed	suppressed
1184666562	M	General/Family Practice	E	6381.0	7791.3	321855.85	215585.0	355.0	not_suppressed	5098.0	6303.733333300002	247949.3	172451.0	not_suppressed	270.0	not_suppressed	1083.0	205080.62	not_suppressed	5253.0	115321.05	not_suppressed	45.0	1454.18	not_suppressed	1126.0	86839.28	not_suppressed	5255.0	235016.57	not_suppressed	3801.0	192157.41	not_suppressed	2580.0	129698.44	87.0	1994.9	2405.0	48.0	1.36	5.0	0.0	0.0	5.0	0.0	113.0	3202.26	73.0	not suppressed	15.0	858.74	suppressed	5.0	71.0	207.0	148.0	236.0	119.0	1.5046				0	US	KY	Medical Doctor	1.221015514809591	50.439719479705374	33.785456824949065	not suppressed	not suppressed	not suppressed	not suppressed
1437543253	F	Dentist	N	24.0	24.0	113.0	191.0	16.0	counter suppressed	19.0	306.0	13928.695	6920.0	counter suppressed	11.0	not_suppressed	0.0	0.0	counter suppressed	19.0	8144.09	suppressed	5.0	0.0	counter suppressed	19.0	5038.525	suppressed	5.0	11189.15	suppressed	5.0	7822.22	counter suppressed	19.0	8329.63	5.0	112.88	97.0	5.0	2.27	0.0	0.0	0.0	0.0	0.0	20.0	71.91	15.0	not suppressed	0.0	0.0	not suppressed	0.0	71.0	73.0	47.0	89.0	40.0	1.0952				0	US	CO	Dentist/DDS	1.0	4.708333333333333	7.958333333333333	suppressed	suppressed	suppressed	suppressed
1306037999	M	Internal Medicine	E	125.0	129.0	3578.38	2473.0	67.0	not_suppressed	73.0	76.333333333	2395.6	1395.0	not_suppressed	43.0	counter suppressed	19.0	17122.3	not_suppressed	101.0	614.26	suppressed	5.0	0.0	not_suppressed	57.0	2037.65	not_suppressed	68.0	1540.73	not_suppressed	112.0	3470.6	not_suppressed	13.0	107.78	30.0	139.68	229.0	27.0	24.0	5.0	0.0	0.0	5.0	0.0	5.0	386.73	5.0	not suppressed	0.0	0.0	not suppressed	0.0	69.0	46.0	21.0	11.0	56.0	2.7633				0	US	PA	Medical Doctor	1.032	28.62704	19.784	not suppressed	not suppressed	not suppressed	not suppressed
1619276920	M	Dentist	E	156.0	156.0	703.37	1333.0	94.0	not_suppressed	136.0	136.03333333	613.11	1121.0	counter suppressed	89.0	suppressed	5.0	17122.3	counter suppressed	146.0	8144.09	suppressed	5.0	0.0	not_suppressed	72.0	364.51	not_suppressed	84.0	338.86	not_suppressed	36.0	159.34	not_suppressed	120.0	544.03	21.0	75.74	52.0	17.0	13.46	0.0	0.0	0.0	0.0	0.0	99.0	433.08	76.0	not suppressed	0.0	0.0	not suppressed	0.0	73.0	65.0	29.0	81.0	13.0	1.1508				0	US	NC	Dentist/DDS	1.0	4.508782051282052	8.544871794871796	not suppressed	not suppressed	not suppressed	not suppressed
1124082243	M	Dentist	E	58.0	60.6	277.91	663.0	38.0	not_suppressed	40.0	42.6	185.4	537.0	counter suppressed	33.0	not_suppressed	0.0	0.0	counter suppressed	53.0	8144.09	suppressed	5.0	0.0	not_suppressed	16.0	90.15	not_suppressed	42.0	187.76	suppressed	5.0	7822.22	counter suppressed	53.0	8329.63	5.0	112.88	97.0	5.0	2.27	0.0	0.0	0.0	0.0	0.0	38.0	181.72	30.0	not suppressed	0.0	0.0	not suppressed	0.0	72.0	23.0	15.0	89.0	40.0	1.2056				0	US	SC	Dentist/DDS	1.0448275862068965	4.791551724137931	11.431034482758621	not suppressed	not suppressed	suppressed	suppressed
1932187770	F	Nurse	E	43.0	45.0	657.75	1092.0	19.0	not_suppressed	32.0	34.0	592.34	764.0	counter suppressed	14.0	suppressed	5.0	17122.3	counter suppressed	38.0	8144.09	not_suppressed	0.0	0.0	not_suppressed	15.0	188.19	not_suppressed	28.0	469.56	not_suppressed	23.0	310.19	not_suppressed	20.0	347.56	11.0	201.61	245.0	5.0	25.58	5.0	0.0	0.0	5.0	0.0	5.0	386.73	5.0	not suppressed	0.0	0.0	not suppressed	0.0	70.0	73.0	47.0	89.0	40.0	1.5758				0	US	WA	Nurse	1.0465116279069768	15.296511627906977	25.3953488372093	suppressed	suppressed	suppressed	suppressed
1477861151	F	Physician Assistant	E	153.0	153.3	1928.76	1163.0	107.0	not_suppressed	93.0	93.1	903.59	651.0	not_suppressed	68.0	suppressed	5.0	17122.3	counter suppressed	148.0	8144.09	not_suppressed	0.0	0.0	not_suppressed	59.0	736.76	not_suppressed	94.0	1192.0	not_suppressed	71.0	928.37	not_suppressed	82.0	1000.39	46.0	210.04	145.0	45.0	30.07	0.0	0.0	0.0	0.0	0.0	46.0	487.64	42.0	not suppressed	0.0	0.0	not suppressed	0.0	65.0	79.0	28.0	64.0	43.0	1.6882				0	US	VA	Physican Assistant	1.0019607843137255	12.60627450980392	7.601307189542483	not suppressed	not suppressed	not suppressed	not suppressed
1447288626	M	Obstetrics & Gynecology	E	12.0	15.3	1214.62	410.0	5.0	not_suppressed	12.0	15.333333332999999	1214.62	410.0	suppressed	5.0	suppressed	5.0	17122.3	suppressed	5.0	8144.09	not_suppressed	0.0	0.0	suppressed	5.0	5038.525	suppressed	5.0	11189.15	suppressed	5.0	7822.22	suppressed	5.0	8329.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	386.73	5.0	not suppressed	0.0	0.0	not suppressed	0.0	71.0	73.0	47.0	89.0	40.0	1.3465				0	US	TX	Medical Doctor	1.2750000000000001	101.21833333333332	34.166666666666664	suppressed	suppressed	suppressed	suppressed
1639255516	M	General/Family Practice	E	3453.0	7162.0	436340.4	204202.0	373.0	not_suppressed	2567.0	5723.4	247299.25	164341.0	not_suppressed	297.0	not_suppressed	666.0	317166.12	not_suppressed	2739.0	117191.35	not_suppressed	48.0	1982.93	not_suppressed	1936.0	198184.63	not_suppressed	1517.0	238155.77	not_suppressed	1339.0	255447.9	not_suppressed	2114.0	180892.5	428.0	83997.61	12295.0	75.0	12.4	158.0	78981.6	4687.0	20.0	36.92	138.0	1067.29	92.0	not suppressed	0.0	0.0	not suppressed	0.0	70.0	204.0	169.0	268.0	105.0	1.2161				0	US	FL	DO	2.07413843035042	126.36559513466551	59.137561540689255	not suppressed	not suppressed	not suppressed	not suppressed
1477747277	F	Nurse	E	79.0	150.2	12715.95	4179.0	32.0	counter suppressed	74.0	306.0	13928.695	6920.0	counter suppressed	27.0	not_suppressed	30.0	6523.59	not_suppressed	49.0	6192.36	not_suppressed	0.0	0.0	suppressed	5.0	5038.525	counter suppressed	74.0	11189.15	not_suppressed	12.0	1614.71	not_suppressed	67.0	11101.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	386.73	5.0	not suppressed	0.0	0.0	not suppressed	0.0	68.0	32.0	0.0	89.0	40.0	0.6696				0	US	VT	Nurse	1.90126582278481	160.9613924050633	52.89873417721519	not suppressed	not suppressed	suppressed	suppressed
1851330013	F	Obstetrics & Gynecology	E	470.0	699.5	44424.01	18037.0	141.0	not_suppressed	268.0	428.4	37851.35	11725.0	not_suppressed	83.0	not_suppressed	123.0	21710.19	not_suppressed	347.0	22713.82	not_suppressed	0.0	0.0	not_suppressed	246.0	26864.8	not_suppressed	224.0	17559.21	not_suppressed	252.0	12617.24	not_suppressed	218.0	31806.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	509.99	32.0	not suppressed	0.0	0.0	not suppressed	0.0	60.0	141.0	0.0	80.0	61.0	0.905				0	US	NY	Medical Doctor	1.4882978723404254	94.51917021276596	38.37659574468085	not suppressed	not suppressed	not suppressed	not suppressed
1700869401	M	Surgery	E	148.0	187.0	3311.01	4324.0	61.0	not_suppressed	122.0	157.93333333	2329.1	3560.0	counter suppressed	56.0	not_suppressed	18.0	1981.86	not_suppressed	130.0	1329.15	not_suppressed	0.0	0.0	not_suppressed	29.0	1296.68	not_suppressed	119.0	2014.33	not_suppressed	59.0	967.38	not_suppressed	89.0	2343.63	5.0	112.88	97.0	5.0	2.27	0.0	0.0	0.0	0.0	0.0	23.0	134.52	17.0	not suppressed	0.0	0.0	not suppressed	0.0	72.0	27.0	34.0	46.0	15.0	1.5889				0	US	NC	Medical Doctor	1.2635135135135136	22.37168918918919	29.216216216216218	not suppressed	not suppressed	not suppressed	not suppressed
1144246992	M	Obstetrics & Gynecology	E	130.0	187.7	5028.78	4622.0	61.0	not_suppressed	101.0	148.2	4387.54	3817.0	not_suppressed	43.0	not_suppressed	16.0	619.65	not_suppressed	114.0	4409.13	not_suppressed	0.0	0.0	not_suppressed	25.0	447.65	not_suppressed	105.0	4581.13	not_suppressed	28.0	916.48	not_suppressed	102.0	4112.3	5.0	112.88	97.0	5.0	2.27	0.0	0.0	0.0	0.0	0.0	19.0	260.31	18.0	not suppressed	0.0	0.0	not suppressed	0.0	66.0	73.0	47.0	49.0	12.0	1.0422				0	US	FL	Medical Doctor	1.4438461538461538	38.682923076923075	35.55384615384615	suppressed	suppressed	not suppressed	not suppressed
1184676678	M	Cardiologist	E	4138.0	10111.1	188166.52	300799.0	382.0	not_suppressed	3985.0	9802.133333299998	183591.72	291631.0	not_suppressed	363.0	counter suppressed	446.0	17122.3	not_suppressed	3687.0	97876.46	suppressed	5.0	0.0	not_suppressed	453.0	33528.4	not_suppressed	3685.0	154638.12	not_suppressed	662.0	33503.72	not_suppressed	3476.0	154662.8	18.0	933.63	706.0	5.0	0.43	0.0	0.0	0.0	0.0	0.0	24.0	121.07	17.0	not suppressed	0.0	0.0	not suppressed	0.0	77.0	195.0	187.0	305.0	77.0	1.6884				0	US	MA	Medical Doctor	2.4434751087481876	45.47281778637022	72.69188013533108	not suppressed	not suppressed	not suppressed	not suppressed
